================ Training Loss (Sun Jan  8 16:54:37 2023) ================
(epoch: 1, iters: 100, time: 0.023, data: 0.118) G_GAN: 1.698 G_L1: 38.820 D_real: 0.239 D_fake: 0.371 
(epoch: 1, iters: 200, time: 0.023, data: 0.001) G_GAN: 1.426 G_L1: 29.942 D_real: 0.179 D_fake: 0.335 
(epoch: 1, iters: 300, time: 0.023, data: 0.001) G_GAN: 3.113 G_L1: 37.144 D_real: 0.115 D_fake: 0.068 
(epoch: 1, iters: 400, time: 0.070, data: 0.001) G_GAN: 2.479 G_L1: 42.311 D_real: 0.073 D_fake: 0.223 
(epoch: 2, iters: 100, time: 0.023, data: 0.185) G_GAN: 2.702 G_L1: 34.220 D_real: 0.311 D_fake: 0.074 
(epoch: 2, iters: 200, time: 0.024, data: 0.001) G_GAN: 2.871 G_L1: 31.331 D_real: 0.412 D_fake: 0.082 
(epoch: 2, iters: 300, time: 0.023, data: 0.001) G_GAN: 3.598 G_L1: 32.391 D_real: 0.139 D_fake: 0.083 
(epoch: 2, iters: 400, time: 0.064, data: 0.001) G_GAN: 3.088 G_L1: 33.842 D_real: 0.165 D_fake: 0.074 
(epoch: 3, iters: 100, time: 0.024, data: 0.167) G_GAN: 2.529 G_L1: 29.134 D_real: 0.053 D_fake: 0.179 
(epoch: 3, iters: 200, time: 0.024, data: 0.001) G_GAN: 1.388 G_L1: 32.280 D_real: 0.280 D_fake: 0.245 
(epoch: 3, iters: 300, time: 0.024, data: 0.001) G_GAN: 3.529 G_L1: 40.174 D_real: 0.010 D_fake: 0.340 
(epoch: 3, iters: 400, time: 0.059, data: 0.001) G_GAN: 3.500 G_L1: 37.550 D_real: 0.065 D_fake: 0.053 
(epoch: 4, iters: 100, time: 0.023, data: 0.187) G_GAN: 2.246 G_L1: 44.479 D_real: 0.481 D_fake: 0.062 
(epoch: 4, iters: 200, time: 0.023, data: 0.001) G_GAN: 0.752 G_L1: 28.520 D_real: 0.606 D_fake: 0.149 
(epoch: 4, iters: 300, time: 0.024, data: 0.001) G_GAN: 1.108 G_L1: 30.796 D_real: 0.110 D_fake: 1.197 
(epoch: 4, iters: 400, time: 0.068, data: 0.001) G_GAN: 2.621 G_L1: 34.704 D_real: 0.190 D_fake: 0.254 
(epoch: 5, iters: 100, time: 0.024, data: 0.180) G_GAN: 2.639 G_L1: 38.924 D_real: 0.001 D_fake: 0.282 
(epoch: 5, iters: 200, time: 0.024, data: 0.001) G_GAN: 2.582 G_L1: 39.503 D_real: 0.869 D_fake: 0.025 
(epoch: 5, iters: 300, time: 0.023, data: 0.001) G_GAN: 1.644 G_L1: 32.913 D_real: 0.081 D_fake: 0.148 
(epoch: 5, iters: 400, time: 0.061, data: 0.001) G_GAN: 5.551 G_L1: 45.638 D_real: 0.034 D_fake: 0.011 
(epoch: 6, iters: 100, time: 0.024, data: 0.173) G_GAN: 0.592 G_L1: 28.753 D_real: 2.086 D_fake: 0.185 
(epoch: 6, iters: 200, time: 0.022, data: 0.001) G_GAN: 2.747 G_L1: 36.945 D_real: 0.022 D_fake: 0.140 
(epoch: 6, iters: 300, time: 0.025, data: 0.001) G_GAN: 4.025 G_L1: 38.094 D_real: 0.178 D_fake: 0.015 
(epoch: 6, iters: 400, time: 0.077, data: 0.001) G_GAN: 2.664 G_L1: 29.662 D_real: 0.876 D_fake: 0.027 
